mode,mode_label,run_dir,seed,run,sim_time_s,handover_scenario,a3_safety_net_enabled,handover_count,handovers_per_ue,ping_pong_count,ping_pong_rate,mean_dwell_time_s,rapid_repeat_requests,rapid_cell_returns,same_target_repeat_requests,dl_tx_bytes,dl_rx_bytes,ul_tx_bytes,ul_rx_bytes,dl_delivery_ratio,ul_delivery_ratio,dl_packet_loss_proxy,ul_packet_loss_proxy,dl_mean_throughput_mbps,ul_mean_throughput_mbps,dl_delay_mean_ms,dl_delay_std_ms,ul_delay_mean_ms,ul_delay_std_ms,traffic_metric_source,worker_failed_requests,worker_mean_rtt_ms,worker_median_rtt_ms,worker_max_rtt_ms,worker_inner_mean_ms,worker_inner_median_ms,worker_inner_max_ms,worker_ok_count,controller_decision_points,executed_lstm_decisions,blocked_by_threshold,blocked_by_cooldown,blocked_by_confirmation,blocked_by_anti_ping_pong,blocked_by_handover_in_progress,blocked_by_insufficient_history,blocked_by_other,wall_runtime_s
mlp_val_selected,MLP-only val-selected,<NS3_ROOT>/results_night/oran_e2_lstm/online_runs/mlp_val_selected_matched_900s_20260419_014610/seed12345-run1-00001,12345,1,900.0,LSTM_ONLY,0,787,26.233333333333334,99,0.12579415501905972,30.603033151207118,0,100,0,5201511930,3688727490,1784977272,816262156,0.7091644774906822,0.4572955458897294,0.29083552250931777,0.5427044541102706,32.7886888,7.255663608888889,651.6781167388351,29.96062427645154,4907.1353021826235,120.33097971374778,pdcp,0.0,49.5500537,48.1022,125.587,47.84850111111111,46.3825,123.773,9000.0,270000,796,244229,7132,3273,53,14077,420,0,5400.002678871155
mlp_val_selected,MLP-only val-selected,<NS3_ROOT>/results_night/oran_e2_lstm/online_runs/mlp_val_selected_matched_900s_20260419_014610/seed12345-run3-00001,12345,3,900.0,LSTM_ONLY,0,937,31.233333333333334,95,0.10138740661686232,26.240745699039486,0,94,0,5149002330,3479718780,1778832618,794192600,0.6758044679307806,0.44646842651948715,0.32419553206921936,0.5535315734805129,30.930833600000003,7.059489777777778,900.8492268083291,35.59049740879886,5770.634130910441,103.02985748656413,pdcp,0.0,49.685417022222225,48.124,123.43,47.95214566666667,46.361,122.217,9000.0,270000,941,251180,8458,1954,37,7001,420,0,5400.002760887146
mlp_val_selected,MLP-only val-selected,<NS3_ROOT>/results_night/oran_e2_lstm/online_runs/mlp_val_selected_matched_900s_20260419_014610/seed12345-run4-00001,12345,4,900.0,LSTM_ONLY,0,924,30.8,96,0.1038961038961039,25.67329314935065,0,97,0,5169723120,3468381480,1784261832,861899240,0.6709027542658803,0.4830564800200243,0.3290972457341197,0.5169435199799757,30.8300576,7.6613265777777775,928.481002626414,31.554712288211412,4795.488546378747,97.37703190759002,pdcp,0.0,49.586521000000005,47.9957,122.153,47.85534422222222,46.2345,120.945,9000.0,270000,929,249800,8351,2516,78,7896,420,0,5400.002653598785
mlp_val_selected,MLP-only val-selected,<NS3_ROOT>/results_night/oran_e2_lstm/online_runs/mlp_val_selected_matched_900s_20260419_014610/seed12345-run5-00001,12345,5,900.0,LSTM_ONLY,0,861,28.7,89,0.10336817653890824,27.29236823461092,0,90,0,5109600240,3660165450,1779109580,1059357970,0.7163310783780611,0.595442788858458,0.2836689216219389,0.404557211141542,32.534804,9.416515288888888,843.2081011024407,33.71158114037875,3937.445157954972,98.88512752736123,pdcp,0.0,49.73571615555555,48.20635,142.575,48.02487188888889,46.468,140.76,9000.0,270000,870,248606,7816,2409,84,9781,420,0,5400.002568244934
