name,a3_gate_mode,trigger_threshold,target_conf_threshold,min_score_margin,min_gain_rsrp_db,cooldown_s,anti_ping_pong_window_s,consecutive_confirmation_steps,model_name,segment_count,positive_segment_count,skipped_positive_events_due_to_no_context,handover_count,successful_handover_count,unnecessary_handover_count,missed_useful_handover_count,ping_pong_count,ping_pong_rate,mean_dwell_time_s,early_prediction_rate,end_to_end_decision_success_rate,decision_success_precision,trigger_precision,trigger_recall,trigger_f1,mean_handover_count_per_ue,std_handover_count_per_ue,lead_time_bins,selection_score,stage
mlp_conservative_stage2_03_12,off,0.85,0.7,0.1,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7288,5491,5263,3079,982,0.17883809870697506,11.713821101288525,0.6155192532088681,0.6407234539089849,0.7534302963776071,0.9935510428100988,0.8449241540256709,0.913229915500063,60.733333333333334,32.35318977919934,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03933709706792934}, '0.2-0.5s': {'count': 968, 'rate_over_successful': 0.17628847204516482}, '0.5-1.0s': {'count': 2243, 'rate_over_successful': 0.4084866144600255}, '1.0+s': {'count': 2064, 'rate_over_successful': 0.37588781642688035}}",1.8866727864323747,stage2
mlp_conservative_stage2_01_12,off,0.85,0.7,0.0,1.0,1.0,5.0,2,mlp_conservative_k3,8690,8570,0,7288,5491,5263,3079,982,0.17883809870697506,11.713821101288525,0.6155192532088681,0.6407234539089849,0.7534302963776071,0.9935510428100988,0.8449241540256709,0.913229915500063,60.733333333333334,32.35318977919934,"{'0-0.2s': {'count': 216, 'rate_over_successful': 0.03933709706792934}, '0.2-0.5s': {'count': 968, 'rate_over_successful': 0.17628847204516482}, '0.5-1.0s': {'count': 2243, 'rate_over_successful': 0.4084866144600255}, '1.0+s': {'count': 2064, 'rate_over_successful': 0.37588781642688035}}",1.8866727864323747,stage2
mlp_conservative_stage2_10_04,off,0.6,0.7,0.0,1.0,0.0,5.0,2,mlp_conservative_k3,8690,8570,0,7328,5491,5306,3079,979,0.17829175013658713,11.66916873194094,0.6170361726954492,0.6407234539089849,0.7493176855895196,0.9933133187772926,0.8493582263710618,0.9157126682601585,61.06666666666667,32.55578118996515,"{'0-0.2s': {'count': 203, 'rate_over_successful': 0.036969586596248404}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.16681843015844108}, '0.5-1.0s': {'count': 2267, 'rate_over_successful': 0.41285740302312873}, '1.0+s': {'count': 2105, 'rate_over_successful': 0.3833545802221818}}",1.8863480867465743,stage2
mlp_conservative_stage2_07_08,off,0.65,0.7,0.0,1.0,0.5,5.0,2,mlp_conservative_k3,8690,8570,0,7325,5491,5302,3079,979,0.17829175013658713,11.67044682538351,0.6168028004667444,0.6407234539089849,0.7496245733788396,0.9933105802047781,0.8490081680280047,0.9155080213903743,61.041666666666664,32.54314977414175,"{'0-0.2s': {'count': 205, 'rate_over_successful': 0.03733381897650701}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.16681843015844108}, '0.5-1.0s': {'count': 2269, 'rate_over_successful': 0.41322163540338736}, '1.0+s': {'count': 2101, 'rate_over_successful': 0.38262611546166453}}",1.8863475228889677,stage2
mlp_conservative_stage2_06_08,off,0.7,0.7,0.1,1.0,0.5,5.0,2,mlp_conservative_k3,8690,8570,0,7325,5491,5302,3079,979,0.17829175013658713,11.67044682538351,0.6168028004667444,0.6407234539089849,0.7496245733788396,0.9933105802047781,0.8490081680280047,0.9155080213903743,61.041666666666664,32.54314977414175,"{'0-0.2s': {'count': 205, 'rate_over_successful': 0.03733381897650701}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.16681843015844108}, '0.5-1.0s': {'count': 2269, 'rate_over_successful': 0.41322163540338736}, '1.0+s': {'count': 2101, 'rate_over_successful': 0.38262611546166453}}",1.8863475228889677,stage2
mlp_conservative_stage2_09_08,off,0.65,0.7,0.1,1.0,0.5,5.0,2,mlp_conservative_k3,8690,8570,0,7325,5491,5302,3079,979,0.17829175013658713,11.67044682538351,0.6168028004667444,0.6407234539089849,0.7496245733788396,0.9933105802047781,0.8490081680280047,0.9155080213903743,61.041666666666664,32.54314977414175,"{'0-0.2s': {'count': 205, 'rate_over_successful': 0.03733381897650701}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.16681843015844108}, '0.5-1.0s': {'count': 2269, 'rate_over_successful': 0.41322163540338736}, '1.0+s': {'count': 2101, 'rate_over_successful': 0.38262611546166453}}",1.8863475228889677,stage2
mlp_conservative_stage2_08_08,off,0.65,0.7,0.05,1.0,0.5,5.0,2,mlp_conservative_k3,8690,8570,0,7325,5491,5302,3079,979,0.17829175013658713,11.67044682538351,0.6168028004667444,0.6407234539089849,0.7496245733788396,0.9933105802047781,0.8490081680280047,0.9155080213903743,61.041666666666664,32.54314977414175,"{'0-0.2s': {'count': 205, 'rate_over_successful': 0.03733381897650701}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.16681843015844108}, '0.5-1.0s': {'count': 2269, 'rate_over_successful': 0.41322163540338736}, '1.0+s': {'count': 2101, 'rate_over_successful': 0.38262611546166453}}",1.8863475228889677,stage2
mlp_conservative_stage2_05_08,off,0.7,0.7,0.05,1.0,0.5,5.0,2,mlp_conservative_k3,8690,8570,0,7325,5491,5302,3079,979,0.17829175013658713,11.67044682538351,0.6168028004667444,0.6407234539089849,0.7496245733788396,0.9933105802047781,0.8490081680280047,0.9155080213903743,61.041666666666664,32.54314977414175,"{'0-0.2s': {'count': 205, 'rate_over_successful': 0.03733381897650701}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.16681843015844108}, '0.5-1.0s': {'count': 2269, 'rate_over_successful': 0.41322163540338736}, '1.0+s': {'count': 2101, 'rate_over_successful': 0.38262611546166453}}",1.8863475228889677,stage2
mlp_conservative_stage2_04_08,off,0.7,0.7,0.0,1.0,0.5,5.0,2,mlp_conservative_k3,8690,8570,0,7325,5491,5302,3079,979,0.17829175013658713,11.67044682538351,0.6168028004667444,0.6407234539089849,0.7496245733788396,0.9933105802047781,0.8490081680280047,0.9155080213903743,61.041666666666664,32.54314977414175,"{'0-0.2s': {'count': 205, 'rate_over_successful': 0.03733381897650701}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.16681843015844108}, '0.5-1.0s': {'count': 2269, 'rate_over_successful': 0.41322163540338736}, '1.0+s': {'count': 2101, 'rate_over_successful': 0.38262611546166453}}",1.8863475228889677,stage2
mlp_conservative_stage2_10_08,off,0.6,0.7,0.0,1.0,0.5,5.0,2,mlp_conservative_k3,8690,8570,0,7325,5490,5302,3080,979,0.17832422586520946,11.671840712715802,0.6166861143523921,0.6406067677946324,0.7494880546075086,0.9933105802047781,0.8490081680280047,0.9155080213903743,61.041666666666664,32.54314977414175,"{'0-0.2s': {'count': 205, 'rate_over_successful': 0.037340619307832425}, '0.2-0.5s': {'count': 916, 'rate_over_successful': 0.1668488160291439}, '0.5-1.0s': {'count': 2269, 'rate_over_successful': 0.41329690346083786}, '1.0+s': {'count': 2100, 'rate_over_successful': 0.3825136612021858}}",1.8856196218613765,stage2
