mode,mode_label,run_dir,seed,run,sim_time_s,handover_scenario,a3_safety_net_enabled,handover_count,handovers_per_ue,ping_pong_count,ping_pong_rate,mean_dwell_time_s,rapid_repeat_requests,rapid_cell_returns,same_target_repeat_requests,dl_tx_bytes,dl_rx_bytes,ul_tx_bytes,ul_rx_bytes,dl_delivery_ratio,ul_delivery_ratio,dl_packet_loss_proxy,ul_packet_loss_proxy,dl_mean_throughput_mbps,ul_mean_throughput_mbps,dl_delay_mean_ms,dl_delay_std_ms,ul_delay_mean_ms,ul_delay_std_ms,traffic_metric_source,worker_failed_requests,worker_mean_rtt_ms,worker_median_rtt_ms,worker_max_rtt_ms,worker_inner_mean_ms,worker_inner_median_ms,worker_inner_max_ms,worker_ok_count,controller_decision_points,executed_lstm_decisions,blocked_by_threshold,blocked_by_cooldown,blocked_by_confirmation,blocked_by_anti_ping_pong,blocked_by_handover_in_progress,blocked_by_insufficient_history,blocked_by_other,a3_safety_net_enabled_delta_vs_a3,handover_count_delta_vs_a3,handovers_per_ue_delta_vs_a3,ping_pong_count_delta_vs_a3,ping_pong_rate_delta_vs_a3,mean_dwell_time_s_delta_vs_a3,rapid_repeat_requests_delta_vs_a3,rapid_cell_returns_delta_vs_a3,same_target_repeat_requests_delta_vs_a3,dl_tx_bytes_delta_vs_a3,dl_rx_bytes_delta_vs_a3,ul_tx_bytes_delta_vs_a3,ul_rx_bytes_delta_vs_a3,dl_delivery_ratio_delta_vs_a3,ul_delivery_ratio_delta_vs_a3,dl_packet_loss_proxy_delta_vs_a3,ul_packet_loss_proxy_delta_vs_a3,dl_mean_throughput_mbps_delta_vs_a3,ul_mean_throughput_mbps_delta_vs_a3,dl_delay_mean_ms_delta_vs_a3,dl_delay_std_ms_delta_vs_a3,ul_delay_mean_ms_delta_vs_a3,ul_delay_std_ms_delta_vs_a3,worker_failed_requests_delta_vs_a3,worker_mean_rtt_ms_delta_vs_a3,worker_median_rtt_ms_delta_vs_a3,worker_max_rtt_ms_delta_vs_a3,worker_inner_mean_ms_delta_vs_a3,worker_inner_median_ms_delta_vs_a3,worker_inner_max_ms_delta_vs_a3,worker_ok_count_delta_vs_a3,controller_decision_points_delta_vs_a3,executed_lstm_decisions_delta_vs_a3,blocked_by_threshold_delta_vs_a3,blocked_by_cooldown_delta_vs_a3,blocked_by_confirmation_delta_vs_a3,blocked_by_anti_ping_pong_delta_vs_a3,blocked_by_handover_in_progress_delta_vs_a3,blocked_by_insufficient_history_delta_vs_a3,blocked_by_other_delta_vs_a3,dl_throughput_rel_delta_vs_a3,ul_throughput_rel_delta_vs_a3
a3,A3,<NS3_ROOT>/results_night_teacher_100ms/seed12345-run1-00001,12345,1,900.0,HYBRID_LSTM_A3_FALLBACK,1,2023,67.43333333333334,525,0.25951557093425603,12.389054067721206,0,534,0,5200307820,3960689580,1784674294,911422864,0.7616259877477791,0.5106942297898084,0.23837401225222088,0.4893057702101916,35.206129600000004,8.10153656888889,406.93049406761963,17.67228545598319,3144.9726827696736,85.66769691300078,pdcp,0.0,,,,,,,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_hybrid,LSTM+A3 hybrid,<NS3_ROOT>/results_night/oran_e2_lstm/results_final_900s/lstm_hybrid/seed12345-run1-00001,12345,1,900.0,LSTM_HYBRID_A3_FALLBACK,1,2156,71.86666666666666,599,0.27782931354359924,11.566162518089055,0,608,0,5198892570,4007666700,1784487304,904669544,0.7708693045757627,0.5069632840604396,0.22913069542423725,0.49303671593956044,35.623704,8.041507057777777,345.2110493263432,16.594923514679166,2766.4710337909705,81.8520336888729,pdcp,0.0,56.11122164444444,53.6293,1557.06,54.743875777777774,52.247,1555.54,9000.0,270000,1096,256711,9841,1615,183,22,420,0,0.0,133.0,4.433333333333323,74.0,0.01831374260934321,-0.8228915496321516,0.0,74.0,0.0,-1415250.0,46977120.0,-186990.0,-6753320.0,0.009243316827983628,-0.0037309457293688286,-0.009243316827983628,0.0037309457293688286,0.41757439999999235,-0.060029511111112654,-61.71944474127645,-1.077361941304023,-378.5016489787031,-3.8156632241278885,0.0,,,,,,,9000.0,270000.0,1096.0,256711.0,9841.0,1615.0,183.0,22.0,420.0,0.0,0.011860843686719608,-0.007409645145790608
lstm_only,LSTM-only,<NS3_ROOT>/results_night/oran_e2_lstm/results_final_900s/lstm_only/seed12345-run1-00001,12345,1,900.0,LSTM_ONLY,0,1268,42.266666666666666,240,0.1892744479495268,19.583634266561514,0,241,0,5201464500,3828782160,1784991364,841381251,0.7360969511567367,0.47136432588365174,0.2639030488432633,0.5286356741163483,34.033619200000004,7.478944453333333,513.7200967649508,23.692952734827937,3453.0890087794482,70.64341175383518,pdcp,0.0,56.41130072222222,53.85255,1618.21,55.04560466666667,52.4985,1616.71,9000.0,270000,1277,234529,11447,3820,459,18032,420,0,-1.0,-755.0,-25.16666666666667,-285.0,-0.07024112298472923,7.194580198840308,0.0,-293.0,0.0,1156680.0,-131907420.0,317070.0,-70041613.0,-0.025529036591042442,-0.03932990390615665,0.025529036591042442,0.03932990390615665,-1.1725104000000002,-0.6225921155555563,106.78960269733113,6.020667278844748,308.11632600977464,-15.0242851591656,0.0,,,,,,,9000.0,270000.0,1277.0,234529.0,11447.0,3820.0,459.0,18032.0,420.0,0.0,-0.03330415508099476,-0.07684864596506334
a3,A3,<NS3_ROOT>/results_night_teacher_100ms/seed12345-run3-00001,12345,3,900.0,HYBRID_LSTM_A3_FALLBACK,1,2335,77.83333333333333,639,0.27366167023554605,10.942664671520342,0,645,0,5148411750,3683915640,1778408232,848618072,0.7155440976530286,0.477178443470003,0.2844559023469714,0.522821556529997,32.7459168,7.543271751111111,415.7281833098636,19.25313922312672,3882.120054390439,86.77526492834167,pdcp,0.0,,,,,,,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_hybrid,LSTM+A3 hybrid,<NS3_ROOT>/results_night/oran_e2_lstm/results_final_900s/lstm_hybrid/seed12345-run3-00001,12345,3,900.0,LSTM_HYBRID_A3_FALLBACK,1,2437,81.23333333333333,615,0.25235945835043083,10.53331144357817,0,621,0,5146658370,3695409000,1777895500,841629524,0.7180210409030899,0.4733852602697965,0.28197895909691006,0.5266147397302035,32.84808,7.481151324444445,396.876110241825,18.352578712038174,4380.805013087707,98.89418524653207,pdcp,0.0,56.43149225555555,53.9738,1529.47,55.06224088888889,52.579,1527.51,9000.0,270000,1252,254774,11250,1956,214,20,420,0,0.0,102.0,3.4000000000000057,-24.0,-0.02130221188511522,-0.409353227942173,0.0,-24.0,0.0,-1753380.0,11493360.0,-512732.0,-6988548.0,0.002476943250061314,-0.003793183200206496,-0.002476943250061314,0.003793183200206496,0.10216319999999968,-0.06212042666666573,-18.852073068038578,-0.9005605110885462,498.6849586972685,12.118920318190405,0.0,,,,,,,9000.0,270000.0,1252.0,254774.0,11250.0,1956.0,214.0,20.0,420.0,0.0,0.0031198760023722918,-0.008235209961448824
lstm_only,LSTM-only,<NS3_ROOT>/results_night/oran_e2_lstm/results_final_900s/lstm_only/seed12345-run3-00001,12345,3,900.0,LSTM_ONLY,0,1279,42.63333333333333,250,0.19546520719311963,19.17919506645817,0,250,0,5148177660,3152744010,1778537228,749458088,0.6124000021397863,0.4213901605212843,0.3875999978602137,0.5786098394787157,28.0243912,6.661849671111112,837.5968068149685,33.19447353635495,5457.1166933735185,109.91049865931123,pdcp,0.0,56.353043333333325,53.922200000000004,1606.25,54.98648377777778,52.536,1605.05,9000.0,270000,1293,211813,11596,5983,424,38437,420,0,-1.0,-1056.0,-35.199999999999996,-389.0,-0.07819646304242642,8.236530394937828,0.0,-395.0,0.0,-234090.0,-531171630.0,128996.0,-99159984.0,-0.10314409551324233,-0.05578828294871868,0.10314409551324233,0.05578828294871874,-4.721525600000003,-0.8814220799999992,421.86862350510495,13.941334313228229,1574.9966389830797,23.13523373096956,0.0,,,,,,,9000.0,270000.0,1293.0,211813.0,11596.0,5983.0,424.0,38437.0,420.0,0.0,-0.1441866974999461,-0.1168487771728716
