mode_label,completed_runs,handover_count_mean,ping_pong_rate_mean,rapid_cell_returns_mean,mean_dwell_time_s_mean,dl_delivery_ratio_mean,ul_delivery_ratio_mean,dl_mean_throughput_mbps_mean,ul_mean_throughput_mbps_mean,dl_delay_mean_ms_mean,ul_delay_mean_ms_mean,worker_failed_requests_total
A3,4,2329.5,0.2672611946513182,630.75,10.962088304654753,0.7400954326553342,0.5221707483557483,33.8245838,8.252002995555555,422.42187471900957,2782.155640620922,0.0
LSTM-only,4,1477.5,0.18630049158623463,274.5,17.15257448932917,0.688401398610462,0.4927224640930521,31.468190711111113,7.787487233333334,722.9067821353398,4341.002147627487,0.0
LSTM+A3 hybrid,4,2441.75,0.253862655539249,623.0,10.409339358186141,0.7455888321755352,0.5243090307019078,34.069938,8.284406164444444,401.15785663395354,2880.6797371496323,0.0
