mode,mode_label,completed_runs,handover_count_mean,handovers_per_ue_mean,ping_pong_count_mean,ping_pong_rate_mean,mean_dwell_time_s_mean,rapid_repeat_requests_mean,rapid_repeat_requests_total,rapid_cell_returns_mean,rapid_cell_returns_total,same_target_repeat_requests_mean,same_target_repeat_requests_total,dl_delivery_ratio_mean,ul_delivery_ratio_mean,dl_packet_loss_proxy_mean,ul_packet_loss_proxy_mean,dl_mean_throughput_mbps_mean,ul_mean_throughput_mbps_mean,dl_delay_mean_ms_mean,ul_delay_mean_ms_mean,worker_failed_requests_mean,worker_failed_requests_total,worker_mean_rtt_ms_mean,worker_median_rtt_ms_mean,worker_max_rtt_ms_mean,executed_lstm_decisions_mean,executed_lstm_decisions_total,blocked_by_threshold_mean,blocked_by_threshold_total,blocked_by_cooldown_mean,blocked_by_cooldown_total,blocked_by_confirmation_mean,blocked_by_confirmation_total,blocked_by_anti_ping_pong_mean,blocked_by_anti_ping_pong_total,blocked_by_handover_in_progress_mean,blocked_by_handover_in_progress_total,blocked_by_insufficient_history_mean,blocked_by_insufficient_history_total,blocked_by_other_mean,blocked_by_other_total,controller_decision_points_mean,controller_decision_points_total,a3_safety_net_enabled_delta_vs_a3_mean,handover_count_delta_vs_a3_mean,handovers_per_ue_delta_vs_a3_mean,ping_pong_count_delta_vs_a3_mean,ping_pong_rate_delta_vs_a3_mean,mean_dwell_time_s_delta_vs_a3_mean,rapid_repeat_requests_delta_vs_a3_mean,rapid_cell_returns_delta_vs_a3_mean,same_target_repeat_requests_delta_vs_a3_mean,dl_tx_bytes_delta_vs_a3_mean,dl_rx_bytes_delta_vs_a3_mean,ul_tx_bytes_delta_vs_a3_mean,ul_rx_bytes_delta_vs_a3_mean,dl_delivery_ratio_delta_vs_a3_mean,ul_delivery_ratio_delta_vs_a3_mean,dl_packet_loss_proxy_delta_vs_a3_mean,ul_packet_loss_proxy_delta_vs_a3_mean,dl_mean_throughput_mbps_delta_vs_a3_mean,ul_mean_throughput_mbps_delta_vs_a3_mean,dl_delay_mean_ms_delta_vs_a3_mean,dl_delay_std_ms_delta_vs_a3_mean,ul_delay_mean_ms_delta_vs_a3_mean,ul_delay_std_ms_delta_vs_a3_mean,worker_failed_requests_delta_vs_a3_mean,worker_mean_rtt_ms_delta_vs_a3_mean,worker_median_rtt_ms_delta_vs_a3_mean,worker_max_rtt_ms_delta_vs_a3_mean,worker_inner_mean_ms_delta_vs_a3_mean,worker_inner_median_ms_delta_vs_a3_mean,worker_inner_max_ms_delta_vs_a3_mean,worker_ok_count_delta_vs_a3_mean,controller_decision_points_delta_vs_a3_mean,executed_lstm_decisions_delta_vs_a3_mean,blocked_by_threshold_delta_vs_a3_mean,blocked_by_cooldown_delta_vs_a3_mean,blocked_by_confirmation_delta_vs_a3_mean,blocked_by_anti_ping_pong_delta_vs_a3_mean,blocked_by_handover_in_progress_delta_vs_a3_mean,blocked_by_insufficient_history_delta_vs_a3_mean,blocked_by_other_delta_vs_a3_mean,dl_throughput_rel_delta_vs_a3_mean,ul_throughput_rel_delta_vs_a3_mean
a3,A3,2,2179.0,72.63333333333333,582.0,0.26658862058490107,11.665859369620774,0.0,0.0,589.5,1179.0,0.0,0.0,0.7385850427004039,0.49393633662990566,0.26141495729959613,0.5060636633700943,33.9760232,7.82240416,411.3293386887416,3513.546368580056,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_hybrid,LSTM+A3 hybrid,2,2296.5,76.55,607.0,0.26509438594701507,11.049736980833611,0.0,0.0,614.5,1229.0,0.0,0.0,0.7444451727394263,0.490174272165118,0.25555482726057366,0.5098257278348819,34.235892,7.761329191111111,371.0435797840841,3573.638023439339,0.0,0.0,56.27135695,53.80155,1543.2649999999999,1174.0,2348.0,255742.5,511485.0,10545.5,21091.0,1785.5,3571.0,198.5,397.0,21.0,42.0,420.0,840.0,0.0,0.0,270000.0,540000.0,0.0,117.5,3.9166666666666643,25.0,-0.001494234637886005,-0.6161223887871623,0.0,25.0,0.0,-1584315.0,29235240.0,-349861.0,-6870934.0,0.005860130039022471,-0.003762064464787662,-0.005860130039022471,0.003762064464787662,0.259868799999996,-0.06107496888888919,-40.28575890465751,-0.9889612261962846,60.0916548592827,4.151628547031258,0.0,,,,,,,9000.0,270000.0,1174.0,255742.5,10545.5,1785.5,198.5,21.0,420.0,0.0,0.00749035984454595,-0.007822427553619716
lstm_only,LSTM-only,2,1273.5,42.45,245.0,0.1923698275713232,19.38141466650984,0.0,0.0,245.5,491.0,0.0,0.0,0.6742484766482615,0.446377243202468,0.3257515233517385,0.553622756797532,31.0290052,7.070397062222222,675.6584517899596,4455.102851076484,0.0,0.0,56.38217202777777,53.887375000000006,1612.23,1285.0,2570.0,223171.0,446342.0,11521.5,23043.0,4901.5,9803.0,441.5,883.0,28234.5,56469.0,420.0,840.0,0.0,0.0,270000.0,540000.0,-1.0,-905.5,-30.183333333333334,-337.0,-0.07421879301357782,7.715555296889068,0.0,-344.0,0.0,461295.0,-331539525.0,223033.0,-84600798.5,-0.06433656605214239,-0.047559093427437665,0.06433656605214239,0.04755909342743769,-2.9470180000000017,-0.7520070977777777,264.329113101218,9.981000796036488,941.5564824964272,4.05547428590198,0.0,,,,,,,9000.0,270000.0,1285.0,223171.0,11521.5,4901.5,441.5,28234.5,420.0,0.0,-0.08874542629047043,-0.09684871156896747
