mode_label,run,handover_count,ping_pong_rate,rapid_cell_returns,mean_dwell_time_s,dl_delivery_ratio,ul_delivery_ratio,dl_mean_throughput_mbps,ul_mean_throughput_mbps,dl_delay_mean_ms,ul_delay_mean_ms,worker_failed_requests
A3,1,2023,0.25951557093425603,534,12.389054067721206,0.7616259877477791,0.5106942297898084,35.206129600000004,8.10153656888889,406.93049406761963,3144.9726827696736,0.0
A3,3,2335,0.27366167023554605,645,10.942664671520342,0.7155440976530286,0.477178443470003,32.7459168,7.543271751111111,415.7281833098636,3882.120054390439,0.0
A3,5,2292,0.2731239092495637,630,10.684983670157068,0.7670517101128415,0.579696549622972,34.8304976,9.166829137777777,398.8661839083921,2174.7420149901486,0.0
A3,6,2668,0.262743628185907,714,9.83165080922039,0.7161599351076876,0.5211137705402099,32.5157912,8.196374524444444,468.16263759016294,1926.787810333426,0.0
LSTM-only,1,1268,0.1892744479495268,241,19.583634266561514,0.7360969511567367,0.47136432588365174,34.033619200000004,7.478944453333333,513.7200967649508,3453.0890087794482,0.0
LSTM-only,3,1279,0.19546520719311963,250,19.17919506645817,0.6124000021397863,0.4213901605212843,28.0243912,6.661849671111112,837.5968068149685,5457.1166933735185,0.0
LSTM-only,5,1663,0.18340348767288034,305,14.568054359591102,0.7269969648164832,0.5791209972944905,33.021439199999996,9.158595555555555,623.843929770338,2850.7139902147496,0.0
LSTM-only,6,1700,0.17705882352941177,302,15.279414264705881,0.678111676328842,0.4990143726727818,30.793313244444445,7.850559253333333,916.4662951911016,5603.088898142231,0.0
LSTM+A3 hybrid,1,2156,0.27782931354359924,608,11.566162518089055,0.7708693045757627,0.5069632840604396,35.623704,8.041507057777777,345.2110493263432,2766.4710337909705,0.0
LSTM+A3 hybrid,3,2437,0.25235945835043083,621,10.53331144357817,0.7180210409030899,0.4733852602697965,32.84808,7.481151324444445,396.876110241825,4380.805013087707,0.0
LSTM+A3 hybrid,5,2432,0.24383223684210525,598,9.888521699013157,0.7716393065980186,0.5872085864890432,35.033953600000004,9.282783413333334,390.24503021363915,2477.3414228773127,0.0
LSTM+A3 hybrid,6,2742,0.2414296134208607,665,9.649361772064186,0.7218256766252695,0.529678991988352,32.7740144,8.332182862222222,472.29923675400676,1898.1014788425387,0.0
